WARNING: 

To increase the performance of the tunnel, consider installing NumPy. For instructions,
please see https://cloud.google.com/iap/docs/using-tcp-forwarding#increasing_the_tcp_upload_bandwidth

PING 211.136.112.50 (211.136.112.50) 56(84) bytes of data.
64 bytes from 211.136.112.50: icmp_seq=74 ttl=55 time=49.0 ms
64 bytes from 211.136.112.50: icmp_seq=75 ttl=55 time=48.9 ms
64 bytes from 211.136.112.50: icmp_seq=76 ttl=55 time=48.9 ms
64 bytes from 211.136.112.50: icmp_seq=77 ttl=55 time=48.9 ms
64 bytes from 211.136.112.50: icmp_seq=78 ttl=55 time=49.0 ms
64 bytes from 211.136.112.50: icmp_seq=79 ttl=55 time=49.0 ms
64 bytes from 211.136.112.50: icmp_seq=80 ttl=55 time=49.0 ms
64 bytes from 211.136.112.50: icmp_seq=81 ttl=55 time=49.1 ms
64 bytes from 211.136.112.50: icmp_seq=82 ttl=55 time=48.9 ms
64 bytes from 211.136.112.50: icmp_seq=83 ttl=55 time=48.9 ms
64 bytes from 211.136.112.50: icmp_seq=84 ttl=55 time=48.8 ms
64 bytes from 211.136.112.50: icmp_seq=85 ttl=55 time=49.0 ms
64 bytes from 211.136.112.50: icmp_seq=86 ttl=55 time=48.8 ms
64 bytes from 211.136.112.50: icmp_seq=87 ttl=55 time=48.8 ms
64 bytes from 211.136.112.50: icmp_seq=88 ttl=55 time=48.9 ms
64 bytes from 211.136.112.50: icmp_seq=89 ttl=55 time=48.9 ms
64 bytes from 211.136.112.50: icmp_seq=90 ttl=55 time=49.2 ms
64 bytes from 211.136.112.50: icmp_seq=91 ttl=55 time=49.1 ms
64 bytes from 211.136.112.50: icmp_seq=92 ttl=55 time=49.6 ms
64 bytes from 211.136.112.50: icmp_seq=93 ttl=55 time=49.2 ms
64 bytes from 211.136.112.50: icmp_seq=94 ttl=55 time=48.8 ms
64 bytes from 211.136.112.50: icmp_seq=95 ttl=55 time=49.0 ms
64 bytes from 211.136.112.50: icmp_seq=96 ttl=55 time=49.0 ms
64 bytes from 211.136.112.50: icmp_seq=97 ttl=55 time=48.8 ms
64 bytes from 211.136.112.50: icmp_seq=98 ttl=55 time=48.9 ms
64 bytes from 211.136.112.50: icmp_seq=99 ttl=55 time=49.0 ms
64 bytes from 211.136.112.50: icmp_seq=100 ttl=55 time=49.0 ms

--- 211.136.112.50 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 29762ms
rtt min/avg/max/mdev = 48.798/48.947/49.622/0.126 ms
