WARNING: 

To increase the performance of the tunnel, consider installing NumPy. For instructions,
please see https://cloud.google.com/iap/docs/using-tcp-forwarding#increasing_the_tcp_upload_bandwidth

PING 202.96.209.133 (202.96.209.133) 56(84) bytes of data.
64 bytes from 202.96.209.133: icmp_seq=60 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=61 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=62 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=63 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=64 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=65 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=66 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=67 ttl=50 time=303 ms
64 bytes from 202.96.209.133: icmp_seq=68 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=69 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=70 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=71 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=72 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=73 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=74 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=75 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=76 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=77 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=78 ttl=50 time=303 ms
64 bytes from 202.96.209.133: icmp_seq=79 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=80 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=81 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=82 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=83 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=84 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=85 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=86 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=87 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=88 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=89 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=90 ttl=50 time=303 ms
64 bytes from 202.96.209.133: icmp_seq=91 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=92 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=93 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=94 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=95 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=96 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=97 ttl=50 time=302 ms
64 bytes from 202.96.209.133: icmp_seq=98 ttl=50 time=303 ms
64 bytes from 202.96.209.133: icmp_seq=99 ttl=50 time=301 ms
64 bytes from 202.96.209.133: icmp_seq=100 ttl=50 time=301 ms

--- 202.96.209.133 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 29890ms
rtt min/avg/max/mdev = 301.288/301.797/303.927/0.643 ms, pipe 2
