WARNING: 

To increase the performance of the tunnel, consider installing NumPy. For instructions,
please see https://cloud.google.com/iap/docs/using-tcp-forwarding#increasing_the_tcp_upload_bandwidth

PING 202.96.209.133 (202.96.209.133) 56(84) bytes of data.
64 bytes from 202.96.209.133: icmp_seq=69 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=70 ttl=52 time=291 ms
64 bytes from 202.96.209.133: icmp_seq=71 ttl=52 time=292 ms
64 bytes from 202.96.209.133: icmp_seq=72 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=73 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=74 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=75 ttl=52 time=290 ms
64 bytes from 202.96.209.133: icmp_seq=76 ttl=52 time=290 ms
64 bytes from 202.96.209.133: icmp_seq=77 ttl=52 time=295 ms
64 bytes from 202.96.209.133: icmp_seq=78 ttl=52 time=288 ms
64 bytes from 202.96.209.133: icmp_seq=79 ttl=52 time=297 ms
64 bytes from 202.96.209.133: icmp_seq=80 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=81 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=82 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=83 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=84 ttl=52 time=297 ms
64 bytes from 202.96.209.133: icmp_seq=85 ttl=52 time=290 ms
64 bytes from 202.96.209.133: icmp_seq=86 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=87 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=88 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=89 ttl=52 time=288 ms
64 bytes from 202.96.209.133: icmp_seq=90 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=91 ttl=52 time=291 ms
64 bytes from 202.96.209.133: icmp_seq=92 ttl=52 time=290 ms
64 bytes from 202.96.209.133: icmp_seq=93 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=94 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=95 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=96 ttl=52 time=288 ms
64 bytes from 202.96.209.133: icmp_seq=97 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=98 ttl=52 time=294 ms
64 bytes from 202.96.209.133: icmp_seq=99 ttl=52 time=293 ms
64 bytes from 202.96.209.133: icmp_seq=100 ttl=52 time=297 ms

--- 202.96.209.133 ping statistics ---
100 packets transmitted, 97 received, 3% packet loss, time 29749ms
rtt min/avg/max/mdev = 286.910/292.895/298.615/4.483 ms
